INPUT1,INPUT2,error_rate
..\data\temp\datfile\ideal_source.0KB.dat,..\data\temp\datfile\ideal_output.dat,0.0
..\data\temp\datfile\ideal_source.0KB.dat,..\data\temp\datfile\ideal_output.dat,0.0
..\data\temp\datfile\ideal_source.0KB.dat,..\data\temp\datfile\ideal_output.dat,0.0
..\data\temp\datfile\ideal_source.0KB.dat,..\data\temp\datfile\ideal_output.dat,0.0
..\data\temp\datfile\ideal_source.0KB.dat,..\data\temp\datfile\ideal_output.dat,0.0
..\data\temp\datfile\ideal_source.1KB.dat,..\data\temp\datfile\ideal_output.dat,0.0
..\data\temp\datfile\ideal_source.1KB.dat,..\data\temp\datfile\ideal_output.dat,0.0
..\data\temp\datfile\ideal_source.1KB.dat,..\data\temp\datfile\ideal_output.dat,0.0
..\data\temp\datfile\ideal_source.1KB.dat,..\data\temp\datfile\ideal_output.dat,0.0
..\data\temp\datfile\ideal_source.1KB.dat,..\data\temp\datfile\ideal_output.dat,0.0
..\data\temp\datfile\ideal_source.1KB.dat,..\data\temp\datfile\ideal_output.dat,0.0
..\data\temp\datfile\ideal_source.1KB.dat,..\data\temp\datfile\ideal_output.dat,0.0
..\data\temp\datfile\ideal_source.1KB.dat,..\data\temp\datfile\ideal_output.dat,0.0
..\data\temp\datfile\ideal_source.10KB.dat,..\data\temp\datfile\ideal_output.dat,0.0
..\data\temp\datfile\ideal_source.10KB.dat,..\data\temp\datfile\ideal_output.dat,0.0
..\data\temp\datfile\ideal_source.100KB.dat,..\data\temp\datfile\ideal_output.dat,0.0
