INPUT1,INPUT2,error_rate
..\data\temp\datfile\non_ideal_source.0KB.dat,..\data\temp\datfile\non_ideal_output.dat,0.0
..\data\temp\datfile\non_ideal_source.0KB.dat,..\data\temp\datfile\non_ideal_output.dat,0.0
..\data\temp\datfile\non_ideal_source.0KB.dat,..\data\temp\datfile\non_ideal_output.dat,0.0
..\data\temp\datfile\non_ideal_source.0KB.dat,..\data\temp\datfile\non_ideal_output.dat,0.17820945945945946
..\data\temp\datfile\non_ideal_source.0KB.dat,..\data\temp\datfile\non_ideal_output.dat,0.0
..\data\temp\datfile\non_ideal_source.1KB.dat,..\data\temp\datfile\non_ideal_output.dat,0.0
..\data\temp\datfile\non_ideal_source.1KB.dat,..\data\temp\datfile\non_ideal_output.dat,0.0
..\data\temp\datfile\non_ideal_source.1KB.dat,..\data\temp\datfile\non_ideal_output.dat,0.0
..\data\temp\datfile\non_ideal_source.1KB.dat,..\data\temp\datfile\non_ideal_output.dat,0.0
..\data\temp\datfile\non_ideal_source.1KB.dat,..\data\temp\datfile\non_ideal_output.dat,0.0
